source,target,type
Yaël Braun-Pivet,Assemblée nationale,solid
Bruno Studer,Assemblée nationale,solid
Guillaume Chiche,Assemblée nationale,solid
Bérangère Abba,Assemblée nationale,solid
Dominique David,Assemblée nationale,solid
Geneviève Levy,Assemblée nationale,solid
Olivier Dassault,Assemblée nationale,solid
Sylvain Waserman,Assemblée nationale,solid
Louis Aliot,Assemblée nationale,solid
David Habib,Assemblée nationale,solid
Meyer Habib,Assemblée nationale,solid
Christophe Arend,Assemblée nationale,solid
Patrick Drahi,BFM,solid
Anna Cabana,BFM,solid
Laurent Neumann,BFM,solid
Ruth Elkrief,BFM,solid
Marc-Olivier Fogiel,BFM,solid
Nathalie Levy,BFM,solid
Marc Fiorentino,BFM,solid
Thomas Misrachi,BFM,solid
Benjamin Amar,CGT,solid
Maurice Szafran,Challenges,solid
Annette Wieviorka,CNRS,solid
Edgar Morin,CNRS,solid
Danny Trom,CNRS,solid
Henry Kissinger,Commission trilatérale,solid
Serge Weinberg,Commission trilatérale,solid
Hervé Mariton,Commission trilatérale,solid
Élise Fajgeles,DILCRAH,solid
Johanna Barasz,DILCRAH,solid
Michel Wieviorka,DILCRAH,solid
Tal Bruttmann,EHESS,solid
Bruno Karsenti,EHESS,solid
Jean-Pierre Elkabbach,Europe 1,solid
Anne Sinclair,Europe 1,solid
David Abiker,Europe 1,solid
Patrick Cohen,Europe 1,solid
Fabrice d’Almeida,Europe 1,solid
Anne Roumanoff,Europe 1,solid
Fabien Namias,Europe 1,solid
Daniel Cohn-Bendit,Europe Écologie Les Verts,solid
Alain Lipietz,Europe Écologie Les Verts,solid
Gilles Finchelstein,Fondation Jean-Jaurès,solid
Jean-Yves Camus,Fondation Jean-Jaurès,solid
Michel Drucker,France Télévisions,solid
Stéphane Sitbon-Gomez,France Télévisions,solid
Diego Buñuel,France Télévisions,solid
Michel Cymes,France Télévisions,solid
Michel Field,France Télévisions,solid
Marie Drucker,France Télévisions,solid
Nagui,France Télévisions,solid
Béatrice Schönberg,France Télévisions,solid
Daniela Lumbroso,France Télévisions,solid
Jérôme Clément,France Télévisions,solid
Serge Moati,France Télévisions,solid
Alain Minc,French-American Foundation,solid
Gérald Darmanin,Gouvernement,solid
Joachim Bokobza,Gouvernement,solid
Déborah Münzer,Gouvernement,solid
Anne Rubinstein,Gouvernement,solid
Maïa Wirgin,Gouvernement,solid
Eve Zuckerman,Gouvernement,solid
Constance Bensussan,Gouvernement,solid
Alexis Zajdenweber,Gouvernement,solid
Alexis Kohler,Gouvernement,solid
Mickaël Benzaqui,Gouvernement,solid
Thomas Hartog,Gouvernement,solid
Jack Azoulay,Gouvernement,solid
Élisabeth Borne,Gouvernement,solid
Juliette Oury,Gouvernement,solid
Simon Fetet,Gouvernement,solid
Samira Jemaï,Gouvernement,solid
Nathanaël Mason-Schuler,Gouvernement,solid
Soria Blatmann,Gouvernement,solid
Alexandre Adam,Gouvernement,solid
Jean Salomon,Gouvernement,solid
Daniel Zielinski,Gouvernement,solid
Yedidia Levy-Zauberman,Gouvernement,solid
Emmanuelle Wargon,Gouvernement,solid
Lionel Choukroun,Gouvernement,solid
Gabriel Attal,Gouvernement,solid
Joseph Zimet,Gouvernement,solid
Léo Finkel,Gouvernement,solid
Jérôme Salomon,Gouvernement,solid
Cyril Hanouna,Groupe Canal+,solid
Éric Zemmour,Groupe Canal+,solid
Valérie Bénaïm,Groupe Canal+,solid
Pierre Ménès,Groupe Canal+,solid
Clément Viktorovitch,Groupe Canal+,solid
Maxime Saada,Groupe Canal+,solid
Arthur,Groupe TF1,solid
Jean-Pierre Foucault,Groupe TF1,solid
Claude Berda,Producteurs,solid
Christophe Dechavanne,Groupe TF1,solid
Jean-Luc Reichmann,Groupe TF1,solid
Laurence Tubiana,Haut Conseil pour le climat,solid
Judith Mergui,Humoristes,solid
Gad Elmaleh,Humoristes,solid
Kev Adams,Humoristes,solid
Dany Boon,Humoristes,solid
Élie Semoun,Humoristes,solid
Raphaël Mezrahi,Humoristes,solid
Jean-François Dérec,Humoristes,solid
Michel Leeb,Humoristes,solid
Marie Benoliel,Humoristes,solid
Max Boublil,Humoristes,solid
Tomer Sisley,Humoristes,solid
Armand Abécassis,Industrie culturelle,solid
Éliette Abécassis,Industrie culturelle,solid
Christine Angot,Industrie culturelle,solid
Étienne Balibar,Industrie culturelle,solid
François Samuelson,Industrie culturelle,solid
Jacques-Alain Miller,Industrie culturelle,solid
Gilles Cohen-Solal,Industrie culturelle,solid
Élisabeth Roudinesco,Industrie culturelle,solid
Odile Jacob,Industrie culturelle,solid
Marc Jacobs,Industrie de la mode,solid
Élisabeth Garouste,Industrie de la mode,solid
Sidney Toledano,Dior,solid
Evelyne Chétrite,Industrie de la mode,solid
Judith Milgrom,Industrie de la mode,solid
Franck Provost,Industrie de la mode,solid
Raphaël Elicha ,Industrie de la mode,solid
Alexandre Elicha,Industrie de la mode,solid
Laurent Elicha,Industrie de la mode,solid
Patrick Pariente,Industrie de la mode,solid
Gérard Pariente,Industrie de la mode,solid
Ary Abittan,Acteurs,solid
Cédric Klapisch,Réalisateurs,solid
François Berléand,Acteurs,solid
Christophe Lambert,Acteurs,solid
Claude Berri,Réalisateurs,solid
Jean-Pierre Bacri,Acteurs,solid
Claude Lelouch,Réalisateurs,solid
Anouk Aimée,Acteurs,solid
Philippe Lellouche,Acteurs,solid
Elsa Zylberstein,Acteurs,solid
Judith Godrèche,Acteurs,solid
David Charvet,Acteurs,solid
Richard Anconina,Acteurs,solid
Gérard Darmon,Acteurs,solid
Francis Huster,Acteurs,solid
Alain Chabat,Acteurs,solid
Dominique Farrugia,Acteurs,solid
Yvan Attal,Réalisateurs,solid
Michel Boujenah,Acteurs,solid
Emmanuelle Béart,Acteurs,solid
Jean Benguigui,Acteurs,solid
Alexandre Arcady,Réalisateurs,solid
Olivier Sitruk,Acteurs,solid
Pierre Arditi,Acteurs,solid
Jonathan Cohen,Acteurs,solid
Marina Foïs,Acteurs,solid
Louis Garrel,Acteurs,solid
Rebecca Zlotowski,Acteurs,solid
Vincent Elbaz,Acteurs,solid
Pascal Elbé,Acteurs,solid
Mathieu Kassovitz,Réalisateurs,solid
Élie Chouraqui,Réalisateurs,solid
Sandrine Kiberlain,Acteurs,solid
Richard Berry,Acteurs,solid
Léa Drucker,Acteurs,solid
Charlotte Gainsbourg,Acteurs,solid
Thomas Langmann,Réalisateurs,solid
Thierry Lhermitte,Acteurs,solid
Patrick Timsit,Acteurs,solid
Steve Suissa,Acteurs,solid
Mélanie Laurent,Acteurs,solid
Pierre Niney,Acteurs,solid
Olivier Nakache,Réalisateurs,solid
Éric Toledano,Réalisateurs,solid
Patrick Bruel,Industrie musicale,solid
Dave,Industrie musicale,solid
Gilbert Montagné,Industrie musicale,solid
Catherine Ringer,Industrie musicale,solid
David Guetta,Industrie musicale,solid
Enrico Macias,Industrie musicale,solid
Isabelle Huppert,Industrie musicale,solid
Jean-Jacques Goldman,Industrie musicale,solid
Lenny Kravitz,Industrie musicale,solid
Michel Jonasz,Industrie musicale,solid
Joyce Jonathan,Industrie musicale,solid
Thomas Bangalter,Industrie musicale,solid
Simon Ghraichy,Industrie musicale,solid
Serge Khalfon,Industrie musicale,solid
Sean Paul,Industrie musicale,solid
Richard Kolinka,Industrie musicale,solid
Louis Bertignac,Industrie musicale,solid
Marc Dorcel,Industrie pornographique,solid
