node,group,url,rss,facebook,weight,formula,comments
Yaël Braun-Pivet,Assemblée nationale,,,,,,
Bruno Studer,Assemblée nationale,,,,,,
Guillaume Chiche,Assemblée nationale,,,,,,
Bérangère Abba,Assemblée nationale,,,,,,
Dominique David,Assemblée nationale,,,,,,
Geneviève Levy,Assemblée nationale,,,,,,
Olivier Dassault,Assemblée nationale,,,,,,
Sylvain Waserman,Assemblée nationale,,,,,,
Louis Aliot,Assemblée nationale,,,,,,
David Habib,Assemblée nationale,,,,,,
Meyer Habib,Assemblée nationale,,,,,,
Christophe Arend,Assemblée nationale,,,,,,
Patrick Drahi,BFM,,,,,,
Anna Cabana,BFM,,,,,,
Laurent Neumann,BFM,,,,,,
Ruth Elkrief,BFM,,,,,,
Marc-Olivier Fogiel,BFM,,,,,,
Benjamin Amar,CGT,,,,,,
Maurice Szafran,Challenges,,,,,,
Annette Wieviorka,CNRS,https://fr.wikipedia.org/wiki/Annette_Wieviorka,,,,,
Edgar Morin,CNRS,,https://fr.wikipedia.org/wiki/Edgar_Morin,,,,
Henry Kissinger,Commission trilatérale,,,,,,
Serge Weinberg,Commission trilatérale,,,,,,
Élise Fajgeles,DILCRAH,,,,,,
Jean-Pierre Elkabbach,Europe 1,,,,,,
Anne Sinclair,Europe 1,,,,,,
David Abiker,Europe 1,,,,,,
Patrick Cohen,Europe 1,,,,,,
Fabrice d’Almeida,Europe 1,,,,,,
Anne Roumanoff,Europe 1,,,,,,
Daniel Cohn-Bendit,Europe Écologie Les Verts,,,,,,
Alain Lipietz,Europe Écologie Les Verts,,,,,,
Édouard Baer,France Inter,https://fr.wikipedia.org/wiki/%C3%89douard_Baer,,,,,
Michel Drucker,France Télévisions,,,,,,
Stéphane Sitbon-Gomez,France Télévisions,,,,,,
Diego Buñuel,France Télévisions,,,,,,
Michel Cymes,France Télévisions,,,,,,
Michel Field,France Télévisions,,,,,,
Marie Drucker,France Télévisions,,,,,,
Nagui,France Télévisions,,,,,,
Béatrice Schönberg,France Télévisions,,,,,,
Alain Minc,French-American Foundation,,,,,,
Ginette Moulin,Galeries Lafayette,,,,,,
Christiane Houzé,Galeries Lafayette,,,,128,,
Guillaume Houzé,Galeries Lafayette,,,,10,,
Gérald Darmanin,Gouvernement,,,,10136,,
Joachim Bokobza,Gouvernement,,,,30011,,
Déborah Münzer,Gouvernement,,,,,,
Anne Rubinstein,Gouvernement,,,,,,
Maïa Wirgin,Gouvernement,,,,,,
Eve Zuckerman,Gouvernement,,,,,,
Constance Bensussan,Gouvernement,,,,,,
Alexis Zajdenweber,Gouvernement,,,,,,
Alexis Kohler,Gouvernement,,,,,,
Mickaël Benzaqui,Gouvernement,,,,,,
Thomas Hartog,Gouvernement,,,,,,
Jack Azoulay,Gouvernement,,,,,,
Élisabeth Borne,Gouvernement,,,,,,
Juliette Oury,Gouvernement,,,,,,
Simon Fetet,Gouvernement,,,,,,
Samira Jemaï,Gouvernement,,,,,,
Nathanaël Mason-Schuler,Gouvernement,,,,,,
Soria Blatmann,Gouvernement,,,,,,
Alexandre Adam,Gouvernement,,,,,,
Jean Salomon,Gouvernement,,,,,,
Daniel Zielinski,Gouvernement,,,,,,
Yedidia Levy-Zauberman,Gouvernement,,,,,,
Emmanuelle Wargon,Gouvernement,,,,,,
Lionel Choukroun,Gouvernement,,,,,,
Gabriel Attal,Gouvernement,,,,,,
Joseph Zimet,Gouvernement,,,,,,
Léo Finkel,Gouvernement,,,,,,
Jérôme Salomon,Gouvernement,,,,,,
Alain Bauer,Grand Orient de France,,,,,,
Cyril Hanouna,Groupe Canal+,,,,,,
Éric Zemmour,Groupe Canal+,,,,,,
Valérie Bénaïm,Groupe Canal+,,,,,,
Pierre Ménès,Groupe Canal+,,,,,,
Clément Viktorovitch,Groupe Canal+,,,,,,
Arthur,Groupe TF1,,,,,,
Jean-Pierre Foucault,Groupe TF1,,,,,,
Claude Berda,Groupe TF1,,,,,,
Laurence Tubiana,Haut Conseil pour le climat,,,,,,
Judith Mergui,Humoristes,,,,,,
Gad Elmaleh,Humoristes,,,,,,
Kev Adams,Humoristes,,,,,,
Dany Boon,Humoristes,,,,,,
Ary Abittan,Industrie du cinéma,https://fr.wikipedia.org/wiki/Ary_Abittan,,,,,
Frédéric Dabi,IFOP,,,,,,
Marc Jacobs,Industrie de la mode,,,,,,
Élisabeth Garouste,Industrie de la mode,,https://fr.wikipedia.org/wiki/%C3%89lisabeth_Garouste,,,,
Sidney Toledano,Industrie de la mode,,,,,,
Cédric Klapisch,Industrie du cinéma,,,,,,
François Berléand,Industrie du cinéma,,,,,,
Christophe Lambert,Industrie du cinéma,,,,,,
Claude Berri,Industrie du cinéma,,,,,,
Jean-Pierre Bacri,Industrie du cinéma,,,,,,
Claude Lelouch,Industrie du cinéma,,,,,,
Anouk Aimée,Industrie du cinéma,,,,,,
Philippe Lellouche,Industrie du cinéma,https://fr.wikipedia.org/wiki/Philippe_Lellouche,,,,,
Elsa Zylberstein,Industrie du cinéma,,,,,,
Judith Godrèche,Industrie du cinéma,,,,,,
David Charvet,Industrie du cinéma,,,,,,
Patrick Bruel,Industrie musicale,,,,,,
Dave,Industrie musicale,,,,,,
Drake,Industrie musicale,,,,,,
Gilbert Montagné,Industrie musicale,,,,,,
Marc Dorcel,Industrie pornographique,,,,,,
Fabian Thylmann,Industrie pornographique,,,,,,
David Marmorstein,Industrie pornographique,,,,,,
James Deen,Industrie pornographique,,,,,,
Pierre Nora,Institut de France,https://fr.wikipedia.org/wiki/Pierre_Nora,,,,,
Bernard Stirn,Institut de France,,,,,,
Dominique Moïsi,Institut Montaigne,,https://fr.wikipedia.org/wiki/Dominique_Mo%C3%AFsi,,,,
Anne Rosencher,L’Express,,,,,,
Dominique Nora,L’Obs,,,,,,
Mathias Enthoven,Le Média,,,,,,
Antoine Spire,Le Monde,https://fr.wikipedia.org/wiki/Antoine_Spire,,,,,
Alain Gresh,Le Monde diplomatique,,,,,,
Bernard-Henri-Lévy,Le Point,,,,,,
Patrick Balkany,Les Républicains,,,,,,
Jean-François Copé,Les Républicains,,,,,,
Valérie Hoffenberg,Les Républicains,,,,,,
Denis Olivenne,Libération,,,,,,
Céline Bekerman,LICRA,,,,,,
Alain Jakubowicz,LICRA,,,,,,
Nathalie Boy de la Tour,Ligue de football professionnel,,,,,,
Arié Alimi,Ligue des droits de l’homme,https://fr.wikipedia.org/wiki/Ari%C3%A9_Alimi,,,,,
Ariel Weil,Mairie de Paris,,,,,,
Pierre Aidenbaum,Mairie de Paris,,,,,,
Karen Taïeb,Mairie de Paris,,,,,,
Virginie Schwarz,Météo-France,,,,,,
Jean-François Kahn,Mouvement démocrate,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Kahn,,,,,
Corinne Lepage,Mouvement démocrate,https://fr.wikipedia.org/wiki/Corinne_Lepage,,,,,
Alain Krivine,Nouveau Parti anticapitaliste,,,,,,
Daniel Bensaïd,Nouveau Parti anticapitaliste,,,,,,
Audrey Azoulay,Organisation des Nations Unies,,,,,,
Ian Brossat,Mairie de Paris,,,,,,
Pascal Cherki,Parti socialiste,,,,,,
Vincent Peillon,Parti socialiste,,,,,,
Pierre Moscovici,Parti socialiste,,,,,,
Adeline Hazan,Parti socialiste,,,,,,
Jack Lang,Parti socialiste,,,,,,
Patrick Klugman,Mairie de Paris,,,,,,
Robert Badinter,Parti socialiste,https://fr.wikipedia.org/wiki/Robert_Badinter,,,,,
Georges Kiejman,Parti socialiste,https://fr.wikipedia.org/wiki/Georges_Kiejman,,,,,
Laurent Fabius,Parti socialiste,,,,,,
Henri Weber,Parti socialiste,https://fr.wikipedia.org/wiki/Henri_Weber,,,,,
Danièle Hoffman-Rispal,Parti socialiste,https://fr.wikipedia.org/wiki/Dani%C3%A8le_Hoffman-Rispal,,,,,
Dominique Strauss-Kahn,Parti socialiste,,,,,,
Stéphane Fouks,Parti socialiste,,,,,,
Maurice Lévy,Publicis,https://fr.wikipedia.org/wiki/Maurice_L%C3%A9vy_(publicitaire),,,,,
Arthur Sadoun,Publicis,https://fr.wikipedia.org/wiki/Arthur_Sadoun,,,,,
Élisabeth Badinter,Publicis,https://fr.wikipedia.org/wiki/%C3%89lisabeth_Badinter,,,,,
Nicolas Demorand,Radio France,,,,,,
Raphaël Enthoven,Radio France,,,,,,
Alain Finkielkraut,Radio France,,,,,,
Claude Askolovitch,Radio France,https://fr.wikipedia.org/wiki/Claude_Askolovitch,,,,,
Serge Federbusch,Rassemblement national,,,,,,
Stéphane Bern,RTL,,,,,,
Esther Benbassa,Sénat,,,,,,
Cécile Cukierman,Sénat,,,,,,
Laurence Cohen,Sénat,,,,,,
Michel Amiel,Sénat,,,,,,
Roger Karoutchi,Sénat,,,,,,
David Assouline,Sénat,,,,,,
Patrick Kanner,Sénat,,,,,,
Nathalie Goulet,Sénat,,,,,,
Marek Halter,SOS Racisme,,,,,,
André Bercoff,Sud Radio,,,,,,
Armand Abécassis,Industrie culturelle,,,,,,
Éliette Abécassis,Industrie culturelle,,,,,,
Élie Semoun,Humoristes,,,,,,
Bruno Mars,Industrie musicale,,,,,,
Catherine Ringer,Industrie musicale,,,,,,
Christine Angot,Industrie culturelle,,,,,,
Christophe Dechavanne,Groupe TF1,https://fr.wikipedia.org/wiki/Christophe_Dechavanne,,,,,
Daniel Schneidermann,Journalisme,,,,,,
David Guetta,Industrie musicale,,,,,,
Fabien Namias,Europe 1,,,,,,
Richard Anconina,Industrie du cinéma,,,,,,
Emmanuel Levy,NRJ,,,,,,
Gérard Darmon,Industrie du cinéma,,,,,,
Enrico Macias,Industrie musicale,,,,,,
Daniela Lumbroso,France Télévisions,,,,,,
Nathalie Levy,BFM,,,,,,
Étienne Balibar,Industrie culturelle,,https://fr.wikipedia.org/wiki/%C3%89tienne_Balibar,,,,
